time,topology_rogers_ca.sdnController.
4502,45.02
4507.488,45.074
4513.416,45.134
4520.568,45.205
4529.011,45.29
4535.039,45.35
4543.618,45.436
4549.067,45.49
4557.54,45.575
4561.777,45.617
4568.013,45.68
4574.472,45.744
4578.316,45.783
4582.692,45.826
4585.667,45.856
4594.585,45.945
4595.152,45.951
4604.789,46.047
4607.516,46.075
4611.35,46.113
4616.127,46.161
4624.044,46.24
4632.166,46.321
4637.455,46.374
4642.255,46.422
4647.935,46.479
4651.863,46.518
4661.119,46.611
4669.48,46.694
4670.19,46.701
4673.564,46.735
4674.435,46.744
4680.917,46.809
4681.119,46.811
4684.801,46.848
4693.127,46.931
4702.699,47.026
4710.481,47.104
4711.885,47.118
4720.585,47.205
4729.286,47.292
4739.072,47.39
4743.808,47.438
4751.8,47.518
4759.809,47.598
4764.424,47.644
4769.629,47.696
4777.434,47.774
4784.223,47.842
4785.406,47.854
4792.612,47.926
4799.011,47.99
4804.831,48.048
4806.265,48.062
4811.639,48.116
4821.086,48.21
4828.672,48.286
4833.89,48.338
4834.949,48.349
4839.096,48.39
4843.832,48.438
4846.478,48.464
4848.341,48.483
4856.083,48.56
4863.452,48.634
4868.014,48.68
4870.18,48.701
4875.864,48.758
4877.216,48.772
4877.404,48.774
4880.645,48.806
4886.821,48.868
4888.318,48.883
4894.439,48.944
4896.662,48.966
4902.831,49.028
4906.696,49.066
4916.133,49.161
4925.159,49.251
4931.977,49.319
4936.476,49.364
4940.071,49.4
4946.202,49.462
4950.572,49.505
4959.595,49.595
4966.571,49.665
4967.564,49.675
4968.166,49.681
4977.864,49.778
4984.532,49.845
4991.063,49.91
4997.769,49.977
4999.478,49.994
5001.582,50.015
5005.164,50.051
5006.453,50.064
5013.96,50.139
5017.114,50.171
5023.192,50.231
5026.829,50.268
5030.079,50.3
5035.781,50.357
5036.165,50.361
5040.551,50.405
5046.894,50.468
5056.778,50.567
5066.367,50.663
5067.387,50.673
5073.915,50.739
5076.004,50.76
5082.355,50.823
5083.968,50.839
5093.921,50.939
5100.452,51.004
5106.271,51.062
5108.804,51.088
5112.948,51.129
5117.611,51.176
5122.358,51.223
5124.802,51.248
5131.037,51.31
5132.627,51.326
5136.007,51.36
5137.111,51.371
5143.859,51.438
5150.422,51.504
5153.594,51.535
5154.976,51.549
5162.759,51.627
5164.725,51.647
5174.221,51.742
5177.908,51.779
5184.533,51.845
5192.743,51.927
5192.879,51.928
5193.85,51.938
5200.078,52
5208.457,52.084
5215.194,52.151
5216.155,52.161
5225.874,52.258
5235.639,52.356
5244.421,52.444
5249.108,52.491
5254.204,52.542
5263.972,52.639
5264.529,52.645
5270.577,52.705
5275.089,52.75
5282.482,52.824
5282.682,52.826
5283.074,52.83
5287.491,52.874
5290.319,52.903
5300.115,53.001
5301.317,53.013
5304.911,53.049
5307.872,53.078
5312.681,53.126
5313.868,53.138
5320.755,53.207
5323.935,53.239
5332.74,53.327
5336.883,53.368
5346.065,53.46
5346.706,53.467
5348.874,53.488
5355.799,53.557
5361.451,53.614
5367.117,53.671
5375.768,53.757
5378.422,53.784
5383.512,53.835
5388.744,53.887
5397.911,53.979
5398.85,53.988
