time,topology_rogers_ca.pktDropper_Victoria_Seattle.
5194.672,51.946
5201.303,52.013
5210.367,52.103
5213,52.13
5214.372,52.143
5214.579,52.145
5216.871,52.168
5224.455,52.244
5233.271,52.332
5236.471,52.364
5245.515,52.455
5249.35,52.493
5255.808,52.558
5261.691,52.616
5264.938,52.649
5273.248,52.732
5278.445,52.784
5284.735,52.847
5284.736,52.847
5293.463,52.934
5296.582,52.965
5299.317,52.993
5303.572,53.035
5311.552,53.115
5320.405,53.204
5322.261,53.222
5329.06,53.29
5338.588,53.385
5343.149,53.431
5350.024,53.5
5354.858,53.548
5357.013,53.57
5364.9,53.649
5374.374,53.743
5376.668,53.766
5383.977,53.839
5392.78,53.927
5395.319,53.953
5398.456,53.984
5400.589,54.005
5410.164,54.101
5415.346,54.153
5420.064,54.2
5420.321,54.203
5427.437,54.274
5429.512,54.295
5431.049,54.31
5435.296,54.352
5442.6,54.426
5446.342,54.463
5452.805,54.528
5457.441,54.574
5459.59,54.595
5462.366,54.623
5464.231,54.642
5470.099,54.7
5478.175,54.781
5486.814,54.868
5494.285,54.942
5495.46,54.954
5502.208,55.022
5507.382,55.073
5510.151,55.101
5511.472,55.114
5513.221,55.132
5520.39,55.203
5527.435,55.274
5531.396,55.313
5536.028,55.36
5541.682,55.416
5550.086,55.5
5551.919,55.519
5553.968,55.539
5555.416,55.554
5557.066,55.57
5561.947,55.619
5563.195,55.631
5566.751,55.667
5573.972,55.739
5583.376,55.833
5583.681,55.836
5591.334,55.913
5598.804,55.988
5606.291,56.062
5607.217,56.072
5616.254,56.162
5618.429,56.184
5619.263,56.192
5626.756,56.267
5632.278,56.322
5639.595,56.395
5645.44,56.454
5645.896,56.458
5655.515,56.555
5657.607,56.576
5660.528,56.605
5663.397,56.633
5665.805,56.658
5672.578,56.725
5673.581,56.735
5674.211,56.742
5674.375,56.743
5679.931,56.799
5689.226,56.892
5689.318,56.893
5696.017,56.96
5704.347,57.043
5712.199,57.121
5722.042,57.22
5724.859,57.248
5731.894,57.318
5737.758,57.377
5739.574,57.395
5740.214,57.402
5745.338,57.453
5750.194,57.501
5755.998,57.559
5765.773,57.657
5773.648,57.736
5782.413,57.824
5788.478,57.884
5791.86,57.918
5794.044,57.94
5803.66,58.036
5808.212,58.082
5810.529,58.105
5819.318,58.193
5828.811,58.288
5833.734,58.337
5843.148,58.431
5850.304,58.503
5858.296,58.582
5863.158,58.631
5869.462,58.694
5876.547,58.765
5885.29,58.852
5890.271,58.902
5893.201,58.932
5901.647,59.016
5910.136,59.101
5912.079,59.12
5918.258,59.182
5925.991,59.259
5926.123,59.261
5935.866,59.358
5939.338,59.393
5947.961,59.479
5949.442,59.494
5957.246,59.572
5967.064,59.67
5976.914,59.769
5981.698,59.816
5989.234,59.892
5994.208,59.942
5994.248,59.942
6000.643,60.006
6003.338,60.033
6007.024,60.07
6011.129,60.111
6012.498,60.124
6016.78,60.167
6025.001,60.25
6027.979,60.279
6029.877,60.298
6033.888,60.338
6039.001,60.39
6040.208,60.402
6042.451,60.424
6052.258,60.522
6053.236,60.532
6057.297,60.572
6065.919,60.659
6071.611,60.716
6081.34,60.813
6084.776,60.847
6094.384,60.943
6102.273,61.022
6111.339,61.113
6115.453,61.154
6123.193,61.231
6126.786,61.267
6130.117,61.301
6134.112,61.341
6134.923,61.349
6137.941,61.379
6142.013,61.42
6149.765,61.497
6152.087,61.52
6161.349,61.613
6162.674,61.626
6165.927,61.659
6166.461,61.664
6175.99,61.759
6183.246,61.832
6183.385,61.833
6183.499,61.834
6188.834,61.888
6196.54,61.965
6199.586,61.995
6201.055,62.01
6209.884,62.098
6210.679,62.106
6213.185,62.131
6214.081,62.14
6220.855,62.208
6227.575,62.275
6235.679,62.356
6238.133,62.381
6242.454,62.424
6246.659,62.466
6254.18,62.541
6259.754,62.597
6268.05,62.68
6276.656,62.766
6280.446,62.804
6287.716,62.877
6288.681,62.886
6291.384,62.913
6293.945,62.939
6295.26,62.952
6301.179,63.011
6301.733,63.017
6306.498,63.064
6309.514,63.095
6314.393,63.143
6317.014,63.17
6321.599,63.215
6326.16,63.261
6331.406,63.314
6338.239,63.382
6342.659,63.426
6349.615,63.496
6358.141,63.581
6360.976,63.609
6365.31,63.653
6369.109,63.691
6377.378,63.773
