time,topology_rogers_ca.pktDropper_Victoria_Vancouver.
3019,30.19
3024.488,30.244
3030.416,30.304
3037.568,30.375
3046.011,30.46
3052.039,30.52
3060.618,30.606
3066.067,30.66
3074.54,30.745
3078.777,30.787
3085.013,30.85
3091.472,30.914
3095.316,30.953
3099.692,30.996
3102.667,31.026
3111.585,31.115
3112.152,31.121
3121.789,31.217
3124.516,31.245
3128.35,31.283
3133.127,31.331
3141.044,31.41
3149.166,31.491
3154.455,31.544
3159.255,31.592
3164.935,31.649
3168.863,31.688
3178.119,31.781
3186.48,31.864
3187.19,31.871
3190.564,31.905
3191.435,31.914
3197.917,31.979
3198.119,31.981
3201.801,32.018
3210.127,32.101
3219.699,32.196
3227.481,32.274
3228.885,32.288
3237.585,32.375
3246.286,32.462
3256.072,32.56
3260.808,32.608
3268.8,32.688
3276.809,32.768
3281.424,32.814
3286.629,32.866
3294.434,32.944
3301.223,33.012
3302.406,33.024
3309.612,33.096
3316.011,33.16
3321.831,33.218
3323.265,33.232
3328.639,33.286
3338.086,33.38
3345.672,33.456
3350.89,33.508
3351.949,33.519
3356.096,33.56
3360.832,33.608
3363.478,33.634
3365.341,33.653
3373.083,33.73
3380.452,33.804
3385.014,33.85
3387.18,33.871
3392.864,33.928
3394.216,33.942
3394.404,33.944
3397.645,33.976
3403.821,34.038
3405.318,34.053
3411.439,34.114
3413.662,34.136
3419.831,34.198
3423.696,34.236
3433.133,34.331
3442.159,34.421
3448.977,34.489
3453.476,34.534
3457.071,34.57
3463.202,34.632
3467.572,34.675
3476.595,34.765
3483.571,34.835
3484.564,34.845
3485.166,34.851
3494.864,34.948
3501.532,35.015
3508.063,35.08
3514.769,35.147
3516.478,35.164
3518.582,35.185
3522.164,35.221
3523.453,35.234
3530.96,35.309
3534.114,35.341
3540.192,35.401
3543.829,35.438
3547.079,35.47
3552.781,35.527
3553.165,35.531
3557.551,35.575
3563.894,35.638
3573.778,35.737
3583.367,35.833
3584.387,35.843
3590.915,35.909
3593.004,35.93
3599.355,35.993
3600.968,36.009
3610.921,36.109
3617.452,36.174
3623.271,36.232
3625.804,36.258
3629.948,36.299
3634.611,36.346
3639.358,36.393
3641.802,36.418
3648.037,36.48
3649.627,36.496
3653.007,36.53
3654.111,36.541
3660.859,36.608
3667.422,36.674
3670.594,36.705
3671.976,36.719
3679.759,36.797
3681.725,36.817
3691.221,36.912
